ticker,security_id,issuer_id,cik,sec_name,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
ATO,aios:bounded:sp500:ato,aios:issuer:sec:0000731802,0000731802,ATMOS ENERGY CORP,2023-08-01,2025-01-01,yfinance,ATO,358,2023-08-01,2024-12-31,581f88c119f2ad095d01c1e9e775204583886aa458ec09b7a2e1981c8c3d5831,80effa71a94fd63438ea0087fffa05ef949183d40dadc4afd5632c11fdc65738,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000731802.json,https://query1.finance.yahoo.com/v8/finance/chart/ATO
AVB,aios:bounded:sp500:avb,aios:issuer:sec:0000915912,0000915912,AVALONBAY COMMUNITIES INC,2023-08-01,2025-01-01,yfinance,AVB,358,2023-08-01,2024-12-31,a63deb96640b56d7017b7990ab09a8b126a0240ea68342305558cf9497c005d3,830221dc56a37e9d4638e3f156c1b8228088ce3ebcef5ab9d1e19038ea949636,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000915912.json,https://query1.finance.yahoo.com/v8/finance/chart/AVB
AVGO,aios:bounded:sp500:avgo,aios:issuer:sec:0001730168,0001730168,Broadcom Inc.,2023-08-01,2025-01-01,yfinance,AVGO,358,2023-08-01,2024-12-31,524e71ea55373538caa5f49bddd2b7af2b3a32dceb57111872146869358a9f4c,16d7239104ac86a545c0b67dd2a0559cc2b5ca09141dea45f15e428e21de22b7,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001730168.json,https://query1.finance.yahoo.com/v8/finance/chart/AVGO
AVY,aios:bounded:sp500:avy,aios:issuer:sec:0000008818,0000008818,Avery Dennison Corp,2023-08-01,2025-01-01,yfinance,AVY,358,2023-08-01,2024-12-31,5a8a0043ddf681913c3b9e94143193d5c548ee2a30fa736ec73e0ade64566abe,4615fe6589a3335f121dc047d813edaf782a30767fb9beecca67b6ba3bb04551,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000008818.json,https://query1.finance.yahoo.com/v8/finance/chart/AVY
AXON,aios:bounded:sp500:axon,aios:issuer:sec:0001069183,0001069183,"AXON ENTERPRISE, INC.",2023-08-01,2025-01-01,yfinance,AXON,358,2023-08-01,2024-12-31,9e824175375440c23f80c1921c99706cf8e5a96a80a4ff79b3d372d970721e52,f4a3261c417ee15d7b10c516783ea85c21a739e45a9a4947ac67da300398aa57,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001069183.json,https://query1.finance.yahoo.com/v8/finance/chart/AXON
AXP,aios:bounded:sp500:axp,aios:issuer:sec:0000004962,0000004962,AMERICAN EXPRESS CO,2023-08-01,2025-01-01,yfinance,AXP,358,2023-08-01,2024-12-31,6ed3ad199f877aecb374e05baa6886d52b691f34a5f4b317596f2c8ddbd4d77a,a3cef3b326fc2312c1f966e998cfcbd1200e2cb04c4e421d9129cea93c3d2c9d,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000004962.json,https://query1.finance.yahoo.com/v8/finance/chart/AXP
AZO,aios:bounded:sp500:azo,aios:issuer:sec:0000866787,0000866787,AUTOZONE INC,2023-08-01,2025-01-01,yfinance,AZO,358,2023-08-01,2024-12-31,5238c2e619197d248ecabb8a58301121fda117e710ba642dcc441e1fb6956325,b27d850352f2d0eb5fb4b41b0e427443a7d9e2a7d08848d0e923c804eca74c8c,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000866787.json,https://query1.finance.yahoo.com/v8/finance/chart/AZO
BALL,aios:bounded:sp500:ball,aios:issuer:sec:0000009389,0000009389,BALL Corp,2023-08-01,2025-01-01,yfinance,BALL,358,2023-08-01,2024-12-31,1f5adbecf6ebec8307c059349b3cec284c11308e5ffe236d896b0c83c3df083d,9b332e7bde9e6e203b878533742bffacf0af69bdd5c4865f0197e7d884d3cba6,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000009389.json,https://query1.finance.yahoo.com/v8/finance/chart/BALL
BAX,aios:bounded:sp500:bax,aios:issuer:sec:0000010456,0000010456,BAXTER INTERNATIONAL INC,2023-08-01,2025-01-01,yfinance,BAX,358,2023-08-01,2024-12-31,4480688420a13824524b4c19c1d853b53cc1c041bb966e4e1f77d19b83440a80,1da99a2e4751cf32c536eb54be5699f2268428e757a3eff2e147ec7dcd5bce99,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000010456.json,https://query1.finance.yahoo.com/v8/finance/chart/BAX
BBY,aios:bounded:sp500:bby,aios:issuer:sec:0000764478,0000764478,BEST BUY CO INC,2023-08-01,2025-01-01,yfinance,BBY,358,2023-08-01,2024-12-31,4f0a5f03410883e581f5d227b645a66ca97fbc1e2a23d5089d43b560aee714c3,61dd8ca75db03427e4d2cd07bdfc9b76b30b4bff09932cc5d406b1973e0fdb11,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000764478.json,https://query1.finance.yahoo.com/v8/finance/chart/BBY
BDX,aios:bounded:sp500:bdx,aios:issuer:sec:0000010795,0000010795,BECTON DICKINSON & CO,2023-08-01,2025-01-01,yfinance,BDX,358,2023-08-01,2024-12-31,c435ccd8daeab03f0a8324e1321703eaf4252b6b8453483fac7ca3f31b1c0f55,74ead2cd290fbbd95a7bd49f90133f6fdd97c25e3f9712e30c82d2079affcc57,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000010795.json,https://query1.finance.yahoo.com/v8/finance/chart/BDX
