universe_id,index_name,ticker,effective_date,action,known_date,source,source_kind
sp500,S&P 500,DASH,2025-03-24,Addition,2025-03-07,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,TKO,2025-03-24,Addition,2025-03-07,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,WSM,2025-03-24,Addition,2025-03-07,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,EXE,2025-03-24,Addition,2025-03-07,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,BWA,2025-03-24,Deletion,2025-03-07,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,TFX,2025-03-24,Deletion,2025-03-07,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,CE,2025-03-24,Deletion,2025-03-07,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,FMC,2025-03-24,Deletion,2025-03-07,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,index_announcement
sp500,S&P 500,COIN,2025-05-19,Addition,2025-05-12,https://press.spglobal.com/2025-05-12-Coinbase-Global-Set-to-Join-S-P-500,index_announcement
sp500,S&P 500,DFS,2025-05-19,Deletion,2025-05-12,https://press.spglobal.com/2025-05-12-Coinbase-Global-Set-to-Join-S-P-500,index_announcement
