ticker,security_id,issuer_id,cik,sec_name,sec_ticker,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,sec_history_sources,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
JBL,aios:bounded:sp500:jbl,aios:issuer:sec:0000898293,0000898293,JABIL INC,JBL,2023-12-18,2025-01-01,yfinance,JBL,261,2023-12-18,2024-12-31,0871fe3c9b5d767981d36c50a1169d8abd352c5cc582c7cb8e88e27cea6a2ea3,,ac70c15f717aa48d3413c279afca6e948a23bbcca3f610b136293649e02dba8a,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000898293.json,https://query1.finance.yahoo.com/v8/finance/chart/JBL
KKR,aios:bounded:sp500:kkr,aios:issuer:sec:0001404912,0001404912,KKR & Co. Inc.,KKR,2024-06-24,2025-01-01,yfinance,KKR,133,2024-06-24,2024-12-31,c9081e78c2b8150519f3fa39a90dd9b44f31684e4c7ab28f326d84a5faf1a9cd,,c29f29f076a53a3f40976ba4de768281746519eaf91bf515ce17fee1a4353b69,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001404912.json,https://query1.finance.yahoo.com/v8/finance/chart/KKR
KVUE,aios:bounded:sp500:kvue,aios:issuer:sec:0001944048,0001944048,Kenvue Inc.,KVUE,2023-08-25,2025-01-01,yfinance,KVUE,340,2023-08-25,2024-12-31,8ca8f0554999d9065357da34527641baa4a335afc7b38d07f8941a3555795c3a,,af1929a05c6453ca34999262361fc7a66f0bc629ff643eb8d2065ab7e11aa928,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001944048.json,https://query1.finance.yahoo.com/v8/finance/chart/KVUE
LII,aios:bounded:sp500:lii,aios:issuer:sec:0001069202,0001069202,LENNOX INTERNATIONAL INC,LII,2024-12-23,2025-01-01,yfinance,LII,6,2024-12-23,2024-12-31,b0849925384417ec37932dd05c7f4d9a514942c7015a166232f0072e821e4a83,,3cc62308343f35bc50ea657eb43cf733b510911b168c10ef31b232804e42c106,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001069202.json,https://query1.finance.yahoo.com/v8/finance/chart/LII
LNC,aios:bounded:sp500:lnc,aios:issuer:sec:0000059558,0000059558,LINCOLN NATIONAL CORP,LNC,2023-08-01,2023-09-18,yfinance,LNC,33,2023-08-01,2023-09-15,8263809d535ef7cabec2b8f6630fa67dcfffebe97c6c6084b2e4694ad8232799,,9beea2ffd6fcb86f1554402fddeedf32513900317111c19cd9a438ca1e1e5e33,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000059558.json,https://query1.finance.yahoo.com/v8/finance/chart/LNC
LULU,aios:bounded:sp500:lulu,aios:issuer:sec:0001397187,0001397187,lululemon athletica inc.,LULU,2023-10-18,2025-01-01,yfinance,LULU,303,2023-10-18,2024-12-31,a61a0916878e548df1a90245b0fa0f4cd49bdaed2e7ad5c3997e707fd387ccea,,0ea57c690a2289d74bb51617e965e74b36cc9565d850ccb1f9a2c38d67704440,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001397187.json,https://query1.finance.yahoo.com/v8/finance/chart/LULU
MRO,aios:bounded:sp500:mro,,,,,2023-08-01,2024-11-26,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
NWL,aios:bounded:sp500:nwl,aios:issuer:sec:0000814453,0000814453,NEWELL BRANDS INC.,NWL,2023-08-01,2023-09-18,yfinance,NWL,33,2023-08-01,2023-09-15,be74ce3342ecde97e4cbb60a1b25971c8ef48ea5cad1ec492abd7d0009f45dd1,,5271b5ad0dc024f6786232d67266e83063880ca4b5a0587ed3958b81707b9119,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000814453.json,https://query1.finance.yahoo.com/v8/finance/chart/NWL
OGN,aios:bounded:sp500:ogn,aios:issuer:sec:0001821825,0001821825,Organon & Co.,OGN,2023-08-01,2023-10-18,yfinance,OGN,55,2023-08-01,2023-10-17,941fac13572bd8cefacfdbbbb90d28060f2fc97d6e2c75e7c5623e089a9aeb46,,3e4388fc202fd8ba0b98d8be735af3fcf665b3d36b96cc6fc725d1cd5c956f83,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001821825.json,https://query1.finance.yahoo.com/v8/finance/chart/OGN
PEAK,aios:security:healthpeak-common,,,,,2023-08-01,2024-03-04,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
PLTR,aios:bounded:sp500:pltr,aios:issuer:sec:0001321655,0001321655,Palantir Technologies Inc.,PLTR,2024-09-23,2025-01-01,yfinance,PLTR,70,2024-09-23,2024-12-31,0da719c1127e3b38d695b6e43877362a90a33d8749c688abd40d1134b7902d62,,00efea6cfee4aa7101d539cc3a3e9cc3ec153dc100c2248fb8d23bf01c308b0b,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001321655.json,https://query1.finance.yahoo.com/v8/finance/chart/PLTR
PXD,aios:bounded:sp500:pxd,,,,,2023-08-01,2024-05-08,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
QRVO,aios:bounded:sp500:qrvo,aios:issuer:sec:0001604778,0001604778,"Qorvo, Inc.",QRVO,2023-08-01,2024-12-23,yfinance,QRVO,352,2023-08-01,2024-12-20,2654b89802e02aecba2e9b21cfee680ae4e7f553595ce1c29b02f6ff1e136bbe,,fdde31f68497293b2ae202632148eb73bf60698f8b4fda99a3b840984faabddf,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001604778.json,https://query1.finance.yahoo.com/v8/finance/chart/QRVO
RHI,aios:bounded:sp500:rhi,aios:issuer:sec:0000315213,0000315213,ROBERT HALF INC.,RHI,2023-08-01,2024-06-24,yfinance,RHI,225,2023-08-01,2024-06-21,1176dc6d294f406468c617e43158b7af8905bd9465e889c15fb69fc3d7abc0d6,,dc1b2c35452947d5d30a957620fa41a9dc1917e17664040eabecb6439ac4b96f,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000315213.json,https://query1.finance.yahoo.com/v8/finance/chart/RHI
SEDG,aios:bounded:sp500:sedg,aios:issuer:sec:0001419612,0001419612,"SOLAREDGE TECHNOLOGIES, INC.",SEDG,2023-08-01,2023-12-18,yfinance,SEDG,97,2023-08-01,2023-12-15,810a8156a01f50fe511d2562103c7b902957af179facc3b69f5b2f7dab787df6,,324f961471f7f0bcfe5d25c1ca616635d8502565a63faaa766f564600844cff6,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001419612.json,https://query1.finance.yahoo.com/v8/finance/chart/SEDG
SEE,aios:bounded:sp500:see,,,,,2023-08-01,2023-12-18,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
SMCI,aios:bounded:sp500:smci,aios:issuer:sec:0001375365,0001375365,"Super Micro Computer, Inc.",SMCI,2024-03-18,2025-01-01,yfinance,SMCI,200,2024-03-18,2024-12-31,1d958ada709323b17ae01fa8bb3a02b081795584dc7c6b9532b303a1a1b4e9f1,,488817466f5206403d2709273f40f7e6295bdb4fc6abe5bc07e4b1db1abc8bea,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001375365.json,https://query1.finance.yahoo.com/v8/finance/chart/SMCI
SOLV,aios:bounded:sp500:solv,aios:issuer:sec:0001964738,0001964738,Solventum Corp,SOLV,2024-04-01,2025-01-01,yfinance,SOLV,191,2024-04-01,2024-12-31,c18338fc88225b6bfb72cf03c61ef46d5e3450822237fcb42f3215226fb07f13,,8f4abb6732e8a95355ad3245c9a37e02adfab085d3a2ef47a4b27b0dad628099,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001964738.json,https://query1.finance.yahoo.com/v8/finance/chart/SOLV
TPL,aios:bounded:sp500:tpl,aios:issuer:sec:0001811074,0001811074,Texas Pacific Land Corp,TPL,2024-11-26,2025-01-01,yfinance,TPL,24,2024-11-26,2024-12-31,fe931f44e5113da5ece42ddb4a3f0d766139d939ec24233041e872e0f1310925,,1ac318d6737795642af4ab984b6a82c334a26bb1018927b62cf3e065d58776cc,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001811074.json,https://query1.finance.yahoo.com/v8/finance/chart/TPL
UBER,aios:bounded:sp500:uber,aios:issuer:sec:0001543151,0001543151,"Uber Technologies, Inc",UBER,2023-12-18,2025-01-01,yfinance,UBER,261,2023-12-18,2024-12-31,1dc93c9d119de03638e563f8de6b143a83da929337befee546c4519b90744610,,9eb226197832e431bf26e1079a7638890334c8cd97584a1990fc1217a8a7ea60,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001543151.json,https://query1.finance.yahoo.com/v8/finance/chart/UBER
VFC,aios:bounded:sp500:vfc,aios:issuer:sec:0000103379,0000103379,V F CORP,VFC,2023-08-01,2024-04-03,yfinance,VFC,169,2023-08-01,2024-04-02,395f1d4cedcdfce362f6990b11c0d024a73ea9b3c25d0ae1596047e240f93640,,2f2d3f59e1213423df729805d8cd46578c89f187e12e2f8d70581c554f716940,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000103379.json,https://query1.finance.yahoo.com/v8/finance/chart/VFC
VLTO,aios:bounded:sp500:vlto,aios:issuer:sec:0001967680,0001967680,Veralto Corp,VLTO,2023-10-02,2025-01-01,yfinance,VLTO,313,2023-10-04,2024-12-31,82f84ad8f1bfa2a896594f31df3cc2a20cb7d3452b2c578366bb2d7258865395,,49ba6c797299be384498e90cf4f79d553d953f8afb9be5b1725ac752cb02302a,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001967680.json,https://query1.finance.yahoo.com/v8/finance/chart/VLTO
VST,aios:bounded:sp500:vst,aios:issuer:sec:0001692819,0001692819,Vistra Corp.,VST,2024-05-08,2025-01-01,yfinance,VST,164,2024-05-08,2024-12-31,ec8f09d66a23ddfbf9a33fb56d7b01d16bb1c673f507953b45f830bad6dce3c9,,d22dbe83a31b27abaca69c9930226d7ad36899ca5c0df969a03963fe7b5f9ef3,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001692819.json,https://query1.finance.yahoo.com/v8/finance/chart/VST
WDAY,aios:bounded:sp500:wday,aios:issuer:sec:0001327811,0001327811,"Workday, Inc.",WDAY,2024-12-23,2025-01-01,yfinance,WDAY,6,2024-12-23,2024-12-31,36b89db5e631b1d4652bdedae21ceb0673e906af323cb4438d4fa3e1a59b091f,,7ffa99e16d549c6c07f635db6c4133f822f451dd9bb0516a48ab1e6e253f4e3e,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0001327811.json,https://query1.finance.yahoo.com/v8/finance/chart/WDAY
WHR,aios:bounded:sp500:whr,aios:issuer:sec:0000106640,0000106640,WHIRLPOOL CORP /DE/,WHR,2023-08-01,2024-03-18,yfinance,WHR,158,2023-08-01,2024-03-15,d0ab0e930ccd315517a7ffebcd6890578b1440ca03cd516e571c02aa549895d0,,44da876e624a9b960a410ed3e1b1254fb472a03a6d04011d31ca556c0459bf82,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000106640.json,https://query1.finance.yahoo.com/v8/finance/chart/WHR
WRK,aios:bounded:sp500:wrk,,,,,2023-08-01,2024-07-08,yfinance,,,,,,,,rejected,SEC current ticker map has 0 records; manual review required,2026-07-18,,
XRAY,aios:bounded:sp500:xray,aios:issuer:sec:0000818479,0000818479,DENTSPLY SIRONA Inc.,XRAY,2023-08-01,2024-04-03,yfinance,XRAY,169,2023-08-01,2024-04-02,aff3ad57571a503c6da0242dbe9904e057f48270023e02bf9da13270274ccd5e,,c89ff6e27af7dd277a6dfa592531ce37263ec5265df6ba79c2e0534e9247fada,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000818479.json,https://query1.finance.yahoo.com/v8/finance/chart/XRAY
ZION,aios:bounded:sp500:zion,aios:issuer:sec:0000109380,0000109380,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",ZION,2023-08-01,2024-03-18,yfinance,ZION,158,2023-08-01,2024-03-15,1732d552eebde08ff5a7d8d949a87316795cf62aa4c16ebd3bc44b022bd2139d,,4aaabdf19a9b02076aa34ea6b042b25952c67db45cd104b87020a0b6394871f7,accepted,,2026-07-18,https://data.sec.gov/submissions/CIK0000109380.json,https://query1.finance.yahoo.com/v8/finance/chart/ZION
