issuer_id,canonical_name,canonical_ticker,cik,effective_start,effective_end,verified_date,source
aios:issuer:sec:0001108524,"Salesforce, Inc.",CRM,0001108524,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001108524.json
aios:issuer:sec:0001535527,"CrowdStrike Holdings, Inc.",CRWD,0001535527,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001535527.json
aios:issuer:sec:0000858877,"CISCO SYSTEMS, INC.",CSCO,0000858877,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000858877.json
aios:issuer:sec:0001057352,"COSTAR GROUP, INC.",CSGP,0001057352,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001057352.json
aios:issuer:sec:0000277948,CSX CORP,CSX,0000277948,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000277948.json
aios:issuer:sec:0000723254,CINTAS CORP,CTAS,0000723254,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000723254.json
aios:issuer:sec:0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,0001058290,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001058290.json
aios:issuer:sec:0001755672,"Corteva, Inc.",CTVA,0001755672,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001755672.json
aios:issuer:sec:0001690820,CARVANA CO.,CVNA,0001690820,2025-12-22,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001690820.json
aios:issuer:sec:0000064803,CVS HEALTH Corp,CVS,0000064803,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000064803.json
aios:issuer:sec:0000093410,CHEVRON CORP,CVX,0000093410,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000093410.json
aios:issuer:sec:0000715957,"DOMINION ENERGY, INC",D,0000715957,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000715957.json
aios:issuer:sec:0000027904,"DELTA AIR LINES, INC.",DAL,0000027904,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000027904.json
aios:issuer:sec:0001792789,"DoorDash, Inc.",DASH,0001792789,2025-03-24,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001792789.json
aios:issuer:sec:0001666700,"DuPont de Nemours, Inc.",DD,0001666700,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001666700.json
aios:issuer:sec:0001561550,"Datadog, Inc.",DDOG,0001561550,2025-07-09,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001561550.json
aios:issuer:sec:0000315189,DEERE & CO,DE,0000315189,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000315189.json
aios:issuer:sec:0000910521,DECKERS OUTDOOR CORP,DECK,0000910521,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000910521.json
aios:issuer:sec:0001571996,Dell Technologies Inc.,DELL,0001571996,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001571996.json
aios:issuer:sec:0000029534,DOLLAR GENERAL CORP,DG,0000029534,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000029534.json
aios:issuer:sec:0001022079,QUEST DIAGNOSTICS INC,DGX,0001022079,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001022079.json
aios:issuer:sec:0000882184,HORTON D R INC /DE/,DHI,0000882184,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000882184.json
aios:issuer:sec:0000313616,DANAHER CORP /DE/,DHR,0000313616,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000313616.json
aios:issuer:sec:0001744489,Walt Disney Co,DIS,0001744489,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001744489.json
aios:issuer:sec:0001297996,"DIGITAL REALTY TRUST, INC.",DLR,0001297996,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001297996.json
aios:issuer:sec:0000935703,"DOLLAR TREE, INC.",DLTR,0000935703,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000935703.json
aios:issuer:sec:0000765880,"HEALTHPEAK PROPERTIES, INC.",DOC,0000765880,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000765880.json
aios:issuer:sec:0000029905,DOVER Corp,DOV,0000029905,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000029905.json
aios:issuer:sec:0001751788,DOW INC.,DOW,0001751788,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001751788.json
aios:issuer:sec:0001286681,DOMINOS PIZZA INC,DPZ,0001286681,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001286681.json
aios:issuer:sec:0000940944,DARDEN RESTAURANTS INC,DRI,0000940944,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000940944.json
aios:issuer:sec:0000936340,DTE ENERGY CO,DTE,0000936340,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000936340.json
aios:issuer:sec:0001326160,Duke Energy CORP,DUK,0001326160,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001326160.json
aios:issuer:sec:0000927066,DAVITA INC.,DVA,0000927066,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000927066.json
aios:issuer:sec:0001090012,DEVON ENERGY CORP/DE,DVN,0001090012,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001090012.json
aios:issuer:sec:0001093557,DEXCOM INC,DXCM,0001093557,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001093557.json
aios:issuer:sec:0000712515,ELECTRONIC ARTS INC.,EA,0000712515,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000712515.json
aios:issuer:sec:0001065088,EBAY INC,EBAY,0001065088,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001065088.json
aios:issuer:sec:0001415404,EchoStar CORP,ECHO,0001415404,2026-06-24,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001415404.json
aios:issuer:sec:0000031462,ECOLAB INC.,ECL,0000031462,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000031462.json
aios:issuer:sec:0001047862,CONSOLIDATED EDISON INC,ED,0001047862,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001047862.json
aios:issuer:sec:0000033185,EQUIFAX INC,EFX,0000033185,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000033185.json
aios:issuer:sec:0001095073,"EVEREST GROUP, LTD.",EG,0001095073,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001095073.json
aios:issuer:sec:0000827052,EDISON INTERNATIONAL,EIX,0000827052,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000827052.json
aios:issuer:sec:0001001250,ESTEE LAUDER COMPANIES INC,EL,0001001250,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001001250.json
aios:issuer:sec:0001156039,"Elevance Health, Inc.",ELV,0001156039,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001156039.json
aios:issuer:sec:0000105634,"EMCOR Group, Inc.",EME,0000105634,2025-09-22,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000105634.json
aios:issuer:sec:0000032604,EMERSON ELECTRIC CO,EMR,0000032604,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000032604.json
aios:issuer:sec:0000821189,EOG RESOURCES INC,EOG,0000821189,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000821189.json
aios:issuer:sec:0001101239,EQUINIX INC,EQIX,0001101239,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0001101239.json
aios:issuer:sec:0000906107,EQUITY RESIDENTIAL,EQR,0000906107,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000906107.json
aios:issuer:sec:0000033213,EQT Corp,EQT,0000033213,2025-01-01,2026-07-22,2026-07-21,https://data.sec.gov/submissions/CIK0000033213.json
