ticker,security_id,issuer_id,cik,sec_name,assignment_start,assignment_end,provider,provider_symbol,provider_rows,provider_first_date,provider_last_date,sec_payload_sha256,price_payload_sha256,review_status,reason,verified_date,sec_source,provider_source
AES,aios:bounded:sp500:aes,aios:issuer:sec:0000874761,0000874761,AES CORP,2023-08-01,2025-01-01,yfinance,AES,358,2023-08-01,2024-12-31,171d1193e3893a64e356fbd5041ee50b02dd6743dd11db1607b63afecbcd219d,33a741380aeb75a420c9f373c07d4cfc3d4209c56aa694a3eb7c1381ed9de5f3,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000874761.json,https://query1.finance.yahoo.com/v8/finance/chart/AES
AKAM,aios:bounded:sp500:akam,aios:issuer:sec:0001086222,0001086222,AKAMAI TECHNOLOGIES INC,2023-08-01,2025-01-01,yfinance,AKAM,358,2023-08-01,2024-12-31,1d2c551ed86d11f93903546204d67e8efe2a3f7c94774ecd7cdea4be1036061e,8d0ec1fd1156aa28ef3d799b5112060d161f1b33539dfd6d39a5c1cd37fd1fce,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001086222.json,https://query1.finance.yahoo.com/v8/finance/chart/AKAM
ALB,aios:bounded:sp500:alb,aios:issuer:sec:0000915913,0000915913,ALBEMARLE CORP,2023-08-01,2025-01-01,yfinance,ALB,358,2023-08-01,2024-12-31,7041a27b71c7487f764046f5e09d7e3ccee44cb1ab19921a9a2d0563ae718ce1,af25d59156e66ba88c66d58803f74464970cc195595911d2c52ed97b215dd6d9,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000915913.json,https://query1.finance.yahoo.com/v8/finance/chart/ALB
ALGN,aios:bounded:sp500:algn,aios:issuer:sec:0001097149,0001097149,ALIGN TECHNOLOGY INC,2023-08-01,2025-01-01,yfinance,ALGN,358,2023-08-01,2024-12-31,cb9c9e921b377dd40622eb279df7856a1aab0cbd28070ca49f0ec6afb02fcabd,c55e02d944848a5309897ac2f4e8a1044c5b61a090d74bf98d39d6e724df2e5c,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001097149.json,https://query1.finance.yahoo.com/v8/finance/chart/ALGN
ALLE,aios:bounded:sp500:alle,aios:issuer:sec:0001579241,0001579241,Allegion plc,2023-08-01,2025-01-01,yfinance,ALLE,358,2023-08-01,2024-12-31,15bf357a721f9a51dd380fcba9f6911eac8395972e01eaf186013adc8cd8e19c,3eab6c6f42071ab30ddddd3f276a5672f54a27347957f9691c352c113e033f2b,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001579241.json,https://query1.finance.yahoo.com/v8/finance/chart/ALLE
AMAT,aios:bounded:sp500:amat,aios:issuer:sec:0000006951,0000006951,APPLIED MATERIALS INC /DE,2023-08-01,2025-01-01,yfinance,AMAT,358,2023-08-01,2024-12-31,f93221bf6135615d5b9bb7f1493eb57bbb29d9f17d2f16f27c375aff370ac23c,effb8eb217197bf414e19d7879786a074209201bd2635fe5de769e901a2adf4d,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000006951.json,https://query1.finance.yahoo.com/v8/finance/chart/AMAT
AMD,aios:bounded:sp500:amd,aios:issuer:sec:0000002488,0000002488,ADVANCED MICRO DEVICES INC,2023-08-01,2025-01-01,yfinance,AMD,358,2023-08-01,2024-12-31,5d14f57e3b15363ddfa1d23fd0eda9dc02322260520cfe9ac95f3864f40a61b2,ad8df97704e583a3d78fc5015f931ab0d58252066056f4d8630a353ba271e115,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000002488.json,https://query1.finance.yahoo.com/v8/finance/chart/AMD
AME,aios:bounded:sp500:ame,aios:issuer:sec:0001037868,0001037868,AMETEK INC/,2023-08-01,2025-01-01,yfinance,AME,358,2023-08-01,2024-12-31,e032da240e765d883794dbe0db39c104d86973275fe5e3d30f79fa12812024cc,c274a710a74439111e972ff4ff6a3d2b6cb55c3113a4c2fd422bfa0837e2da92,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001037868.json,https://query1.finance.yahoo.com/v8/finance/chart/AME
AMGN,aios:bounded:sp500:amgn,aios:issuer:sec:0000318154,0000318154,AMGEN INC,2023-08-01,2025-01-01,yfinance,AMGN,358,2023-08-01,2024-12-31,9cce5d59f8a15673bdfc56c65cbb53f3ed9091e8a64243bfc1f3e8f27f3c07ed,4b66f57bc3221b83aefc26fd2985b3d699baf239e11aacea13c4ccc27624d60e,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000318154.json,https://query1.finance.yahoo.com/v8/finance/chart/AMGN
AMT,aios:bounded:sp500:amt,aios:issuer:sec:0001053507,0001053507,AMERICAN TOWER CORP /MA/,2023-08-01,2025-01-01,yfinance,AMT,358,2023-08-01,2024-12-31,bcd3745b12bd08b5cb1931e497157c9e144e51d0274753d20d4221ae0f30984a,8de45806e72736286fd6e59472d7a1cde3a4e16872d811f733c96b768f81251c,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001053507.json,https://query1.finance.yahoo.com/v8/finance/chart/AMT
ANET,aios:bounded:sp500:anet,aios:issuer:sec:0001596532,0001596532,"Arista Networks, Inc.",2023-08-01,2025-01-01,yfinance,ANET,358,2023-08-01,2024-12-31,9835cb927d15ef2747a237188d473024c95cfff724203275f41f002715fd0641,2e223856705241887276a3e05e2e7132abe92cd2c225c6b0298a163bdfa4323a,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001596532.json,https://query1.finance.yahoo.com/v8/finance/chart/ANET
AOS,aios:bounded:sp500:aos,aios:issuer:sec:0000091142,0000091142,SMITH A O CORP,2023-08-01,2025-01-01,yfinance,AOS,358,2023-08-01,2024-12-31,cd0a08d6cc966d30ffa0800621478bc5bc39b63285e568d11e9a161c3bd01443,c35ce07febe16dd5d2676615a7a7753e1208f4947836bb20072cd95a9c02405a,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000091142.json,https://query1.finance.yahoo.com/v8/finance/chart/AOS
APD,aios:bounded:sp500:apd,aios:issuer:sec:0000002969,0000002969,"Air Products & Chemicals, Inc.",2023-08-01,2025-01-01,yfinance,APD,358,2023-08-01,2024-12-31,e298edf4cd18c8c85cbba030d7526c1589007168f1133b9f2867bb267b569bfb,86da99daf9fda7e9c67edc56e4cfa4a8fa58357d4a57a1af3966da8ef9e4f960,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000002969.json,https://query1.finance.yahoo.com/v8/finance/chart/APD
APH,aios:bounded:sp500:aph,aios:issuer:sec:0000820313,0000820313,AMPHENOL CORP /DE/,2023-08-01,2025-01-01,yfinance,APH,358,2023-08-01,2024-12-31,98fa2ad67cb48be427decf78b79cf6ab5b8380207b5b27a82e5081310f62ca49,988c223c8341d3b39c086c6544fecea0889a6bfbf207696e7a97262d26cdca5d,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0000820313.json,https://query1.finance.yahoo.com/v8/finance/chart/APH
AWK,aios:bounded:sp500:awk,aios:issuer:sec:0001410636,0001410636,"American Water Works Company, Inc.",2023-08-01,2025-01-01,yfinance,AWK,358,2023-08-01,2024-12-31,1f2e4826e6722c08fce5371eaf139a98424a3bd0c56f9d9aac8f1d60866d4529,6844aa7257af5a7ad3455a18b74ee625d06fc21460378364e487a2ff60e7e5c8,accepted,,2026-07-17,https://data.sec.gov/submissions/CIK0001410636.json,https://query1.finance.yahoo.com/v8/finance/chart/AWK
